,MAE,MSE,R2
LinearRegression,0.007863741546445424,8.547862370329413e-05,0.8005323281050206
DecisionTree,0.010617057101071747,0.00015940091498357697,0.6280318045354968
RandomForest,0.008995038836876468,9.649244791763714e-05,0.77483114365075
GradientBoosting,0.010531733500192653,0.00015625606131533905,0.6353704421091575
KNN,0.010041534313484424,0.00010467956974452819,0.7557261784608672
VotingEnsemble_Val,0.009063714067604978,0.00010817933231651569,0.7475593472441799
VotingEnsemble_Test,0.00265460703854723,8.783801755887325e-06,0.985670312402441
